交通类型代码,交通类型中文,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,地铁,227,13.72914513963256,100.53726094188144,57
1,地铁,227,13.729101108,100.537366569,58
1,地铁,227,13.728944774,100.537806451,59
1,地铁,227,13.728078418,100.539928079,60
1,地铁,227,13.726644038,100.543296933,61
1,地铁,227,13.725931405,100.544875413,62
1,地铁,227,13.725438279,100.546508098,63
1,地铁,227,13.725438277877279,100.54650810171556,64
1,地铁,227,13.725437429,100.546510911,65
1,地铁,227,13.723121189,100.551997801,66
1,地铁,227,13.722938588,100.552503866,67
1,地铁,227,13.722321857,100.553997784,68
1,地铁,227,13.722321857,100.553997784,69
1,地铁,227,13.722053673,100.554647411,70
1,地铁,227,13.720785991,100.557629577,71
1,地铁,227,13.720677132,100.558045273,72
1,地铁,227,13.720670108,100.558283847,73
1,地铁,227,13.720698201,100.55852965,74
1,地铁,227,13.720768433,100.558775452,75
1,地铁,227,13.720863246,100.558985108,76
1,地铁,227,13.721195661,100.559494793,77
1,地铁,227,13.721323338,100.559585989,78
1,地铁,227,13.721474467,100.559736192,79
1,地铁,227,13.722685672,100.560273094,80
1,地铁,227,13.722685672,100.560273094,81
1,地铁,227,13.722742117,100.560298115,82
1,地铁,227,13.723677541,100.560582429,83
1,地铁,227,13.724087929,100.560665578,84
1,地铁,227,13.725183594,100.560508668,85
1,地铁,227,13.726625699,100.560282802,86
1,地铁,227,13.728911678,100.559979163,87
