交通类型代码,交通类型中文,route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,trip_headsign_泰文,trip_headsign_英文
2,铁路,21,3,175,กรุงเทพ;Bangkok,1,157,2,กรุงเทพ,Bangkok
2,铁路,22,3,176,รังสิต;Rangsit,0,158,2,รังสิต,Rangsit
2,铁路,23,3,177,กรุงเทพ;Bangkok,1,159,2,กรุงเทพ,Bangkok
2,铁路,36,3,178,ม.ธรรมศาสตร์;Thammasat University,0,160,2,ม.ธรรมศาสตร์,Thammasat University
2,铁路,38,3,179,ม.ธรรมศาสตร์;Thammasat University,0,161,2,ม.ธรรมศาสตร์,Thammasat University
2,铁路,42,3,180,รังสิต;Rangsit,0,162,2,รังสิต,Rangsit
2,铁路,39,3,181,กรุงเทพ;Bangkok,1,163,2,กรุงเทพ,Bangkok
2,铁路,40,3,182,รังสิต;Rangsit,0,164,2,รังสิต,Rangsit
2,铁路,41,3,183,กรุงเทพ;Bangkok,1,165,2,กรุงเทพ,Bangkok
2,铁路,72,3,184,รังสิต;Rangsit,0,166,2,รังสิต,Rangsit
2,铁路,87,3,185,คลองหลวงแพ่ง;Khlong Luang Phaeng,0,167,2,คลองหลวงแพ่ง,Khlong Luang Phaeng
2,铁路,105,3,186,ศาลายา;Sala Ya,0,168,2,ศาลายา,Sala Ya
2,铁路,106,3,187,ธนบุรี;Thon Buri,1,169,2,ธนบุรี,Thon Buri
2,铁路,107,3,188,ศาลายา;Sala Ya,0,170,2,ศาลายา,Sala Ya
2,铁路,108,3,189,ธนบุรี;Thon Buri,1,171,2,ธนบุรี,Thon Buri
2,铁路,109,3,190,ศาลายา;Sala Ya,0,172,2,ศาลายา,Sala Ya
2,铁路,110,3,191,ธนบุรี;Thon Buri,1,173,2,ธนบุรี,Thon Buri
2,铁路,111,3,192,ศาลายา;Sala Ya,0,219,2,ศาลายา,Sala Ya
2,铁路,112,3,193,ธนบุรี;Thon Buri,1,174,2,ธนบุรี,Thon Buri
2,铁路,113,3,194,ศาลายา;Sala Ya,0,175,2,ศาลายา,Sala Ya
2,铁路,114,3,195,ธนบุรี;Thon Buri,1,176,2,ธนบุรี,Thon Buri
2,铁路,223,3,196,วงเวียนใหญ่;Wongwian Yai,1,177,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,224,3,197,มหาชัย;Maha Chai,0,178,2,มหาชัย,Maha Chai
2,铁路,225,3,198,วงเวียนใหญ่;Wongwian Yai,1,179,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,226,3,199,มหาชัย;Maha Chai,0,180,2,มหาชัย,Maha Chai
2,铁路,227,3,200,วงเวียนใหญ่;Wongwian Yai,1,181,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,228,3,201,มหาชัย;Maha Chai,0,182,2,มหาชัย,Maha Chai
2,铁路,229,3,202,วงเวียนใหญ่;Wongwian Yai,1,183,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,230,3,203,มหาชัย;Maha Chai,0,184,2,มหาชัย,Maha Chai
2,铁路,231,3,204,วงเวียนใหญ่;Wongwian Yai,1,185,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,232,3,205,มหาชัย;Maha Chai,0,186,2,มหาชัย,Maha Chai
2,铁路,233,3,206,วงเวียนใหญ่;Wongwian Yai,1,187,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,234,3,207,มหาชัย;Maha Chai,0,188,2,มหาชัย,Maha Chai
2,铁路,235,3,208,วงเวียนใหญ่;Wongwian Yai,1,189,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,236,3,209,มหาชัย;Maha Chai,0,190,2,มหาชัย,Maha Chai
2,铁路,237,3,210,วงเวียนใหญ่;Wongwian Yai,1,191,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,238,3,211,มหาชัย;Maha Chai,0,192,2,มหาชัย,Maha Chai
2,铁路,213,3,212,วงเวียนใหญ่;Wongwian Yai,1,193,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,214,3,213,มหาชัย;Maha Chai,0,194,2,มหาชัย,Maha Chai
2,铁路,215,3,214,วงเวียนใหญ่;Wongwian Yai,1,195,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,216,3,215,มหาชัย;Maha Chai,0,196,2,มหาชัย,Maha Chai
2,铁路,217,3,216,วงเวียนใหญ่;Wongwian Yai,1,197,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,218,3,217,มหาชัย;Maha Chai,0,198,2,มหาชัย,Maha Chai
2,铁路,219,3,218,วงเวียนใหญ่;Wongwian Yai,1,199,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,220,3,219,มหาชัย;Maha Chai,0,200,2,มหาชัย,Maha Chai
2,铁路,221,3,220,วงเวียนใหญ่;Wongwian Yai,1,201,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,222,3,221,มหาชัย;Maha Chai,0,202,2,มหาชัย,Maha Chai
2,铁路,239,3,222,วงเวียนใหญ่;Wongwian Yai,1,203,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,240,3,223,มหาชัย;Maha Chai,0,204,2,มหาชัย,Maha Chai
2,铁路,241,3,224,วงเวียนใหญ่;Wongwian Yai,1,205,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,242,3,225,มหาชัย;Maha Chai,0,206,2,มหาชัย,Maha Chai
2,铁路,243,3,226,วงเวียนใหญ่;Wongwian Yai,1,207,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,244,3,227,มหาชัย;Maha Chai,0,208,2,มหาชัย,Maha Chai
2,铁路,245,3,228,วงเวียนใหญ่;Wongwian Yai,1,209,2,วงเวียนใหญ่,Wongwian Yai
2,铁路,246,3,229,มหาชัย;Maha Chai,0,210,2,มหาชัย,Maha Chai
2,铁路,247,3,230,บ้านแหลม;Ban Laem,1,211,2,บ้านแหลม,Ban Laem
2,铁路,248,3,231,แม่กลอง;Mae Klong,0,212,2,แม่กลอง,Mae Klong
2,铁路,249,3,232,บ้านแหลม;Ban Laem,1,213,2,บ้านแหลม,Ban Laem
2,铁路,250,3,233,แม่กลอง;Mae Klong,0,214,2,แม่กลอง,Mae Klong
2,铁路,251,3,234,บ้านแหลม;Ban Laem,1,215,2,บ้านแหลม,Ban Laem
2,铁路,252,3,235,แม่กลอง;Mae Klong,0,216,2,แม่กลอง,Mae Klong
2,铁路,253,3,236,บ้านแหลม;Ban Laem,1,217,2,บ้านแหลม,Ban Laem
2,铁路,254,3,237,แม่กลอง;Mae Klong,0,218,2,แม่กลอง,Mae Klong
2,铁路,5,1,238,พญาไท;Phaya Thai,1,220,1,พญาไท,Phaya Thai
2,铁路,5,1,239,สุวรรณภูมิ;Suvarnabhumi Airport,0,221,1,สุวรรณภูมิ,Suvarnabhumi Airport
2,铁路,5,2,240,พญาไท;Phaya Thai,1,220,1,พญาไท,Phaya Thai
2,铁路,5,2,241,สุวรรณภูมิ;Suvarnabhumi Airport,0,221,1,สุวรรณภูมิ,Suvarnabhumi Airport
2,铁路,1075,6,2761,กรุงเทพ;Bangkok,1,136,2,กรุงเทพ,Bangkok
2,铁路,1074,6,2762,คลองหลวงแพ่ง;Khlong Luang Phaeng,0,135,2,คลองหลวงแพ่ง,Khlong Luang Phaeng
2,铁路,2143,1,5808,เชียงราก;Chiang Rak,1,2358,2,เชียงราก,Chiang Rak
2,铁路,2145,1,5813,รังสิต;Rangsit,1,2363,2,รังสิต,Rangsit
2,铁路,2146,1,5814,รังสิต;Rangsit,1,2364,2,รังสิต,Rangsit
2,铁路,2147,1,5815,รังสิต;Rangsit,1,2365,2,รังสิต,Rangsit
2,铁路,2159,1,5861,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,2411,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,2160,1,5862,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,2412,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,2161,1,5863,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,2413,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,2163,1,5864,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,2414,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,2164,1,5869,อุบลราชธานี;Ubonratchathani,1,2419,2,อุบลราชธานี,Ubonratchathani
2,铁路,2166,1,5870,หนองคาย;Nong Khai,1,2420,2,หนองคาย,Nong Khai
2,铁路,2167,1,5871,อุบลราชธานี;Ubon Ratchathani,1,2421,2,อุบลราชธานี,Ubon Ratchathani
2,铁路,2168,1,5872,หนองคาย;Nong Khai,1,2422,2,หนองคาย,Nong Khai
2,铁路,2169,1,5873,อุบลราชธานี;Ubon Ratchathani,1,2423,2,อุบลราชธานี,Ubon Ratchathani
2,铁路,2171,1,5878,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,2428,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,19,1,5879,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,2429,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,19,1,5880,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,2430,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,2172,1,5881,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,2431,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,2173,1,5882,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,2432,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,2174,1,5883,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,2433,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,2175,1,5884,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,2434,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,2176,1,5885,สุราษฎร์ธานี;Surat Thani,1,2435,2,สุราษฎร์ธานี,Surat Thani
2,铁路,2177,1,5886,นครปฐม;Nakhon Pathom,1,2436,2,นครปฐม,Nakhon Pathom
2,铁路,2179,1,5887,นครปฐม;Krung Thep Aphiwat - Trang,1,2437,2,นครปฐม,Krung Thep Aphiwat - Trang
2,铁路,2180,1,5888,นครปฐม;Nakhon Pathom,1,2438,2,นครปฐม,Nakhon Pathom
2,铁路,2181,1,5889,นครปฐม;Nakhon Pathom,1,2439,2,นครปฐม,Nakhon Pathom
2,铁路,2276,1,6246,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,2796,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,2338,3,6521,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,3071,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
